[2024-06-30 08:05:33.725]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-30 08:05:33.796]	 Done.

[2024-06-30 08:05:57.755]	 List of discovered tpm plugins: 
[2024-06-30 08:05:57.775]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-30 08:05:57.824]	 Already installed "vim-tmux-navigator"
[2024-06-30 08:05:57.826]	 Already installed "tmux-resurrect"
[2024-06-30 08:05:57.849]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-30 08:05:57.878]	 Updating all plugins!
[2024-06-30 08:05:57.878]	 
[2024-06-30 08:05:58.827]	   "vim-tmux-navigator" update success
[2024-06-30 08:05:58.830]	     | Already up to date.
[2024-06-30 08:05:58.904]	   "tmux-resurrect" update success
[2024-06-30 08:05:58.906]	     | Already up to date.
[2024-06-30 08:05:58.926]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-30 08:05:58.992]	 Done.

[2024-07-03 06:38:06.200]	 List of discovered tpm plugins: 
[2024-07-03 06:38:06.228]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-07-03 06:38:06.298]	 Already installed "vim-tmux-navigator"
[2024-07-03 06:38:06.301]	 Already installed "tmux-resurrect"
[2024-07-03 06:38:06.324]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-07-03 06:38:06.351]	 Updating all plugins!
[2024-07-03 06:38:06.351]	 
[2024-07-03 06:38:07.993]	   "vim-tmux-navigator" update success
[2024-07-03 06:38:08.038]	     | Already up to date.
[2024-07-03 06:38:08.162]	   "tmux-resurrect" update success
[2024-07-03 06:38:08.210]	     | Already up to date.
[2024-07-03 06:38:08.330]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-07-03 06:38:08.569]	 Done.

[2024-07-03 09:02:15.871]	 List of discovered tpm plugins: 
[2024-07-03 09:02:15.895]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-07-03 09:02:15.963]	 Already installed "vim-tmux-navigator"
[2024-07-03 09:02:15.964]	 Already installed "tmux-resurrect"
[2024-07-03 09:02:15.993]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-07-03 09:02:16.029]	 Updating all plugins!
[2024-07-03 09:02:16.030]	 
[2024-07-03 09:02:17.615]	   "vim-tmux-navigator" update success
[2024-07-03 09:02:17.652]	     | Already up to date.
[2024-07-03 09:02:17.926]	   "tmux-resurrect" update success
[2024-07-03 09:02:17.930]	     | Already up to date.
[2024-07-03 09:02:17.959]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-07-03 09:02:18.393]	 Done.

[2024-07-09 04:40:24.535]	 List of discovered tpm plugins: 
[2024-07-09 04:40:24.555]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-07-09 04:40:24.608]	 Already installed "tmux-resurrect"
[2024-07-09 04:40:24.616]	 Already installed "vim-tmux-navigator"
[2024-07-09 04:40:24.636]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-07-09 04:40:24.670]	 Updating all plugins!
[2024-07-09 04:40:24.670]	 
[2024-07-09 04:40:26.044]	   "vim-tmux-navigator" update success
[2024-07-09 04:40:26.047]	     | Already up to date.
[2024-07-09 04:40:26.123]	   "tmux-resurrect" update success
[2024-07-09 04:40:26.125]	     | Already up to date.
[2024-07-09 04:40:26.144]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-07-09 04:40:26.204]	 Done.

[2024-07-09 05:23:20.925]	 List of discovered tpm plugins: 
[2024-07-09 05:23:21.137]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-07-09 05:23:21.766]	 Already installed "vim-tmux-navigator"
[2024-07-09 05:23:21.768]	 Already installed "tmux-resurrect"
[2024-07-09 05:23:21.947]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-07-09 05:23:22.189]	 Updating all plugins!
[2024-07-09 05:23:22.189]	 
[2024-07-09 05:23:25.652]	   "vim-tmux-navigator" update success
[2024-07-09 05:23:25.689]	     | Already up to date.
[2024-07-09 05:23:25.900]	   "tmux-resurrect" update success
[2024-07-09 05:23:25.926]	     | Already up to date.
[2024-07-09 05:23:26.200]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-07-09 05:23:26.997]	 Done.

[2024-07-13 15:22:16.917]	 List of discovered tpm plugins: 
[2024-07-13 15:22:16.943]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-07-13 15:22:17.047]	 Already installed "tmux-resurrect"
[2024-07-13 15:22:17.049]	 Already installed "vim-tmux-navigator"
[2024-07-13 15:22:17.084]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-07-13 15:22:17.129]	 Updating all plugins!
[2024-07-13 15:22:17.129]	 
[2024-07-13 15:22:18.848]	   "vim-tmux-navigator" update success
[2024-07-13 15:22:18.851]	     | Already up to date.
[2024-07-13 15:22:18.910]	   "tmux-resurrect" update success
[2024-07-13 15:22:18.913]	     | Already up to date.
[2024-07-13 15:22:18.932]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-07-13 15:22:18.994]	 Done.

[2024-07-13 15:22:19.333]	 List of discovered tpm plugins: 
[2024-07-13 15:22:19.351]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-07-13 15:22:19.396]	 Already installed "tmux-resurrect"
[2024-07-13 15:22:19.396]	 Already installed "vim-tmux-navigator"
[2024-07-13 15:22:19.417]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-07-13 15:22:19.445]	 Updating all plugins!
[2024-07-13 15:22:19.445]	 
[2024-07-13 15:22:20.894]	   "tmux-resurrect" update success
[2024-07-13 15:22:20.897]	     | Already up to date.
[2024-07-13 15:22:21.267]	   "vim-tmux-navigator" update success
[2024-07-13 15:22:21.270]	     | Already up to date.
[2024-07-13 15:22:21.291]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-07-13 15:22:21.351]	 Done.

[2024-07-18 19:32:11.737]	 List of discovered tpm plugins: 
